AbR	AbRPond	POF	NSP
BGM0865:BGM1284	-35.6836908023014	3.94316255666635	-3.94340650625215	-35.6836908023014
BGM0888:7909-02	-0.427253835205593	-0.0853807463295472	0.0909401178014952	-0.427253835205593
BGM0888:BGM0470	21.3293108669748	-4.90954666779329	4.90622282676511	21.3293108669748
BGM0888:BGM0717	-13.7746827488528	1.32178296143673	-1.32288558479597	-13.7746827488528
BGM0888:BGM0991	-14.1624753280808	0.927592921411351	-0.93926824102555	-14.1624753280808
BGM0888:BGM1332	5.84043346753525	-0.0946465313184451	0.0887432472482727	5.84043346753525
BGM0888:BGM2020	11.098643075954	-0.871125625871346	0.867031799990892	11.098643075954
BGM0935:BGM0728	25.702277132845	-1.55981804329261	1.56844874889102	25.702277132845
BGM0935:BGM0941	-25.7520677044918	2.56685631186399	-2.56351834574937	-25.7520677044918
BGM0935:BGM0971	-11.4783541866986	1.7692883783171	-1.77352502550839	-11.4783541866986
BGM0935:BGM1143	-11.2216073098051	1.54687891447128	-1.55325769410059	-11.2216073098051
BGM0935:BGM1422	-30.6087527741612	2.63439865248595	-2.63429775422616	-30.6087527741612
BGM0958:BGM1146	-6.76692753874057	0.774179703616907	-0.771469474278499	-6.76692753874057
BGM0958:BGM1413	-12.8584771526778	1.62102693573363	-1.62954075711906	-12.8584771526778
BGM0968:BGM1819	57.9452776306551	-4.55016844270935	4.55549952253394	57.9452776306551
BGM0971:BGM0942	-1.7888765083312	-0.419316805984552	0.414556745735043	-1.7888765083312
BGM0971:BGM1444	-4.13889686850034	-1.80291524406497	1.80406140297786	-4.13889686850034
BGM0991:BGM0888	4.01044921434033	-0.0228241656627437	0.020908070685405	4.01044921434033
BGM0991:BGM2018	10.5501019009254	-1.02885090562348	1.026630746952	10.5501019009254
BGM1028:BGM0872	3.46654142424384	-0.265058327711555	0.263604497518645	3.46654142424384
BGM1130:BGM0816	38.9806449023538	-2.82497958030747	2.82570677841464	38.9806449023538
BGM1156:BGM2020	22.0028949696163	-2.17526086078757	2.18356282007602	22.0028949696163
BGM1163:BGM0061	0.696364887154913	-0.26138719015504	0.254827024154023	0.696364887154913
BGM1163:BGM0131	-1.02296361823476	0.225746718701128	-0.22416216971187	-1.02296361823476
BGM1253:7909-02	9.8050352785903	0.0784616587981143	-0.077861799023133	9.8050352785903
BGM1253:7909-05	-18.2303098639673	2.43445401602931	-2.43045345366581	-18.2303098639673
BGM1253:BGM0046	-8.14507714671277	2.10039568783114	-2.1021248167875	-8.14507714671277
BGM1253:BGM0816	-12.9391545729882	1.40398170879261	-1.40150505547756	-12.9391545729882
BGM1253:BGM0991	25.204122429806	-3.1681707537278	3.17557045446332	25.204122429806
BGM1253:BGM1023	-10.5041959965141	1.37855197543846	-1.38233958524413	-10.5041959965141
BGM1253:BGM1024	-13.8185081112433	2.13999516391266	-2.14908822361966	-13.8185081112433
BGM1253:BGM1259	-10.2695893976373	1.27029209782128	-1.26714270526291	-10.2695893976373
BGM1253:BGM1659	-11.6929645238392	1.32961670326709	-1.32769666414821	-11.6929645238392
BGM1253:BGM2044	-33.203666170927	3.82520814599028	-3.82706463823947	-33.203666170927
BGM1253:BGM2127	-4.26501450357808	0.741437419427616	-0.746546960024141	-4.26501450357808
BGM1259:Cascuda	7.78927074749509	-1.03782167346853	1.03659120451792	7.78927074749509
BGM1332:BGM0046	0.815983555112703	-0.656244116851266	0.652294994434182	0.815983555112703
BGM1332:BGM2020	46.9799485650734	-3.10181371765309	3.09775668817273	46.9799485650734
BGM1332:BGM2044	39.3204937222037	-3.48698810250063	3.4987856443157	39.3204937222037
BGM1444:BGM0729	0.0122053025098144	-1.1489188520355	1.15001662137837	0.0122053025098144
BGM1444:BGM0968	-14.5065243195226	1.02009893050708	-1.01994322622105	-14.5065243195226
BGM1444:BGM1662	2.20945047117338	-0.0381192358824038	0.0389243192386671	2.20945047117338
BGM1455:BGM0323	-15.4750015944183	1.93806218443479	-1.92771842066671	-15.4750015944183
BGM1487:BGM2020	24.2037850244958	-4.99549269341648	4.9840540902727	24.2037850244958
BGM1583:BGM1253	-15.67761927736	2.10342794721457	-2.10114352903817	-15.67761927736
BGM1583:BGM1638	-9.294859287476	1.43506361726125	-1.43811163956574	-9.294859287476
BGM1583:BRS Gema de Ovo	-12.3881184779256	1.37508493608281	-1.37216225383403	-12.3881184779256
